label_tec,sentence
T1132,BLINDINGCAN has encoded its C2 traffic with Base64.
T1132,Machete has used base64 encoding.
T1132,Spark has encoded communications with the C2 server with base64.
T1132,SUNBURST used Base64 encoding in its C2 traffic.
T1132,Ramsay has used base64 to encode its C2 traffic.
T1132,"Cobalt Strike can use Base64, URL-safe Base64, or NetBIOS encoding in its C2 traffic."
T1132,Bisonal has encoded binary data with Base64.
T1132,SideTwist has used Base64 for encoded C2 traffic.
T1132,Chaes has used Base64 to encode C2 communications.
T1132,GrimAgent can base64 encode C2 replies.
T1132,Stuxnet transforms encrypted binary data into an ASCII string in order to use it as a URL parameter value.
T1132,SMOKEDHAM has encoded its C2 traffic with Base64.
T1132,QakBot can Base64 encode system information sent to C2.
T1132,xCaon has used Base64 to encode its C2 traffic.
T1132,An APT19 HTTP malware variant used Base64 to encode communications to the C2 server.
T1132,A Lazarus Group malware sample encodes data with base64.
T1132,Patchwork used Base64 to encode C2 traffic.
T1132,Several BRONZE BUTLER tools encode data with base64 when posting it to a C2 server.
T1132,APT33 has used base64 to encode command and control traffic.
T1132,MuddyWater has used tools to encode C2 communications including Base64 encoding.
T1132,Tropic Trooper has used base64 encoding to hide command strings delivered from the C2.
T1132,Sandworm Team's BCS-server tool uses base64 encoding and HTML tags for the communication traffic between the C2 server.
T1132,TA551 has used encoded ASCII text for initial C2 communications.
T1132,HAFNIUM has used ASCII encoding for C2 traffic.
T1037,Adversaries may use startup items automatically executed at boot initialization to establish persistence.
T1037,Startup items execute during the final phase of the boot process and contain shell scripts or other executable files along with configuration information used by the system to determine the execution order for all startup items.
T1037,"This is technically a deprecated technology , and thus the appropriate folder, /Library/StartupItems isn’t guaranteed to exist on the system by default, but does appear to exist by default on macOS Sierra."
T1037,"A startup item is a directory whose executable and configuration property list , StartupParameters.plist, reside in the top-level directory."
T1037,An adversary can create the appropriate folders/files in the StartupItems directory to register their own persistence mechanism .
T1037,"Additionally, since StartupItems run during the bootup phase of macOS, they will run as the elevated root user."
T1037,jRAT can list and manage startup entries.
T1528,Adversaries can steal user application access tokens as a means of acquiring credentials to access remote systems and resources.
T1528,This can occur through social engineering and typically requires user action to grant access.
T1528,An application desiring access to cloud-based services or protected APIs can gain entry using OAuth 2.0 through a variety of authorization protocols.
T1528,An example commonly-used sequence is Microsoft's Authorization Code Grant flow.
T1528,An OAuth access token enables a third-party application to interact with resources containing user data in the ways requested by the application without obtaining user credentials.
T1528,Adversaries can leverage OAuth authorization by constructing a malicious application designed to be granted access to resources with the target user's OAuth token.
T1528,"The adversary will need to complete registration of their application with the authorization server, for example Microsoft Identity Platform using Azure Portal, the Visual Studio IDE, the command-line interface, PowerShell, or REST API calls."
T1528,"Then, they can send a link through Spearphishing Link to the target user to entice them to grant access to the application."
T1528,"Once the OAuth access token is granted, the application can gain potentially long-term access to features of the user account through Application Access Token."
T1528,"Adversaries have been seen targeting Gmail, Microsoft Outlook, and Yahoo Mail users."
T1528,"APT28 has used several malicious applications to steal user OAuth access tokens including applications masquerading as ""Google Defender"" ""Google Email Protection,"" and ""Google Scanner"" for Gmail users."
T1528,"They also targeted Yahoo users with applications masquerading as ""Delivery Service"" and ""McAfee Email Protection""."
T1539,An adversary may steal web application or service session cookies and use them to gain access to web applications or Internet services as an authenticated user without needing credentials.
T1539,Web applications and services often use session cookies as an authentication token after a user has authenticated to a website.
T1539,"Cookies are often valid for an extended period of time, even if the web application is not actively used."
T1539,"Cookies can be found on disk, in the process memory of the browser, and in network traffic to remote systems."
T1539,"Additionally, other applications on the targets machine might store sensitive authentication cookies in memory ."
T1539,Session cookies can be used to bypasses some multi-factor authentication protocols.
T1539,There are several examples of malware targeting cookies from web browsers on the local system.
T1539,There are also open source frameworks such as Evilginx 2 and Muraena that can gather session cookies through a malicious proxy  that can be set up by an adversary and used in phishing campaigns.
T1539,"After an adversary acquires a valid cookie, they can then perform a Web Session Cookie technique to login to the corresponding web application."
T1539,"TajMahal has the ability to steal web session cookies from Internet Explorer, Netscape Navigator, FireFox and RealNetworks applications."
T1539,CookieMiner can steal Google Chrome and Apple Safari browser cookies from the victim’s machine.
T1539,Grandoreiro can steal the victim's cookies to use for duplicating the active session from another device.
T1539,EVILNUM can harvest cookies and upload them to the C2 server.
T1539,Chaes has used a script that extracts the web session cookie and sends it to the C2 server.
T1539,QakBot has the ability to capture web session cookies.
T1539,"BLUELIGHT can harvest cookies from Internet Explorer, Edge, Chrome, and Naver Whale browsers."
T1539,XCSSET uses scp to access the ~/Library/Cookies/Cookies.binarycookies file.
T1539,Evilnum can steal cookies and session information from browsers.
T1558,Adversaries may attempt to subvert Kerberos authentication by stealing or forging Kerberos tickets to enable Pass the Ticket.
T1558,Kerberos is an authentication protocol widely used in modern Windows domain environments.
T1558,"In Kerberos environments, referred to as “realms”, there are three basic participants: client, service, and Key Distribution Center ."
T1558,"Clients request access to a service and through the exchange of Kerberos tickets, originating from KDC, they are granted access after having successfully authenticated."
T1558,The KDC is responsible for both authentication and ticket granting.
T1558,Attackers may attempt to abuse Kerberos by stealing tickets or forging tickets to enable unauthorized access.
T1558,"On Windows, the built-in klist utility can be used to list and analyze cached Kerberos tickets."
T1558,"Linux systems on Active Directory domains store Kerberos credentials locally in the credential cache file referred to as the ""ccache""."
T1558,The credentials are stored in the ccache file while they remain valid and generally while a user's session lasts.
T1558,"On modern Redhat Enterprise Linux systems, and derivative distributions, the System Security Services Daemon  handles Kerberos tickets."
T1558,By default SSSD maintains a copy of the ticket database that can be found in /var/lib/sss/secrets/secrets.ldb as well as the corresponding key located in /var/lib/sss/secrets/.secrets.mkey.
T1558,Both files require root access to read.
T1558,"If an adversary is able to access the database and key, the credential cache Kerberos blob can be extracted and converted into a usable Kerberos ccache file that adversaries may use for Pass the Ticket."
T1558,The ccache file may also be converted into a Windows format using tools such as Kekeo.
T1558,"Kerberos tickets on macOS are stored in a standard ccache format, similar to Linux."
T1558,"By default, access to these ccache entries is federated through the KCM daemon process via the Mach RPC protocol, which uses the caller's environment to determine access."
T1558,The storage location for these ccache entries is influenced by the /etc/krb5.conf configuration file and the KRB5CCNAME environment variable which can specify to save them to disk or keep them protected via the KCM daemon.
T1558,"Users can interact with ticket storage using kinit, klist, ktutil, and kcc built-in binaries or via Apple's native Kerberos framework."
T1558,Adversaries can use open source tools to interact with the ccache files directly or to use the Kerberos framework to call lower-level APIs for extracting the user's TGT or Service Tickets.
T1027,Adversaries may use steganography techniques in order to prevent the detection of hidden information.
T1027,"Steganographic techniques can be used to hide data in digital media such as images, audio tracks, video clips, or text files."
T1027,Duqu was an early example of malware that used steganography.
T1027,It encrypted the gathered information from a victim's system and hid it within an image before exfiltrating the image to a C2 server.
T1027,"By the end of 2017, a threat group used Invoke-PSImage to hide PowerShell commands in an image file  and execute the code on a victim's system."
T1027,In this particular case the PowerShell code downloaded another obfuscated script to gather intelligence from the victim's machine and communicate it back to the adversary.
T1027,"Okrum's payload is encrypted and embedded within its loader, or within a legitimate PNG file."
T1027,ABK can extract a malicious Portable Executable  from a photo.
T1027,BBK can extract a malicious Portable Executable  from a photo.
T1027,Avenger can extract backdoor malware from downloaded images.
T1027,build_downer can extract malware from a downloaded JPEG.
T1027,IcedID has embedded binaries within RC4 encrypted .png files.
T1027,RDAT can also embed data within a BMP image prior to exfiltration.
T1027,PolyglotDuke can use steganography to hide C2 information in images.
T1027,"RegDuke can hide data in images, including use of the Least Significant Bit ."
T1027,Raindrop used steganography to locate the start of its encoded payload within legitimate 7-Zip code.
T1027,Ramsay has PE data embedded within JPEG files contained within Word documents.
T1027,LiteDuke has used image files to hide its loader component.
T1027,ObliqueRAT can hide its payload in BMP images hosted on compromised websites.
T1027,ProLock can use .jpg and .bmp files to store its payload.
T1027,Bandook has used .PNG images within a zip file to build the executable.
T1027,APT37 uses steganography to send images to users that are embedded with shellcode.
T1027,MuddyWater has stored obfuscated JavaScript code in an image file named temp.jpg.
T1027,Tropic Trooper has used JPG files with encrypted payloads to mask their backdoor routines and evade detection.
T1027,BRONZE BUTLER has used steganography in multiple operations to conceal malicious payloads.
T1027,TA551 has hidden encoded data for malware DLLs in a PNG.
T1027,Leviathan has used steganography to hide stolen data inside other files stored on Github.
T1027,Andariel has hidden malicious executables within PNG files.
T1001,Adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult.
T1001,Steganographic techniques can be used to hide data in digital messages that are transferred between systems.
T1001,This hidden information can be used for command and control of compromised systems.
T1001,"In some cases, the passing of files embedded using steganography, such as image or document files, can be used for command and control."
T1001,Daserf can use steganography to hide malicious code downloaded to the victim.
T1001,HAMMERTOSS is controlled via commands that are appended to image files.
T1001,"When the Duqu command and control is operating over HTTP or HTTPS, Duqu uploads data to its controller by appending it to a blank JPG file."
T1001,ZeroT has retrieved stage 2 payloads as Bitmap images that use Least Significant Bit  steganography.
T1001,LightNeuron is controlled via commands that are embedded into PDFs and JPGs using steganographic methods.
T1001,RDAT can process steganographic images attached to email messages to send and receive C2 commands.
T1001,RDAT can also embed additional messages within BMP images to communicate with the RDAT operator.
T1001,SUNBURST C2 data attempted to appear as benign XML related to .NET assemblies or as a faux JSON blob.
T1001,Some malware that has been used by Axiom also uses steganography to hide communication in PNG image files.
T1001,APT29 has used steganography to hide C2 communications in images.
T1565,"Adversaries may insert, delete, or manipulate data at rest in order to manipulate external outcomes or hide activity."
T1565,"By manipulating stored data, adversaries may attempt to affect a business process, organizational understanding, and decision making."
T1565,"Stored data could include a variety of file formats, such as Office files, databases, stored emails, and custom file formats."
T1565,The type of modification and the impact it will have depends on the type of data as well as the goals and objectives of the adversary.
T1565,"SUNSPOT created a copy of the SolarWinds Orion software source file with a .bk extension to backup the original content, wrote SUNBURST using the same filename but with a .tmp extension, and then moved SUNBURST using MoveFileEx to the original filename with a .cs extension so it could be compiled within Orion software."
T1565,"APT38 has used DYEPACK to create, delete, and alter records in databases used for SWIFT transactions."
T1553,Adversaries may undermine security controls that will either warn users of untrusted activity or prevent execution of untrusted programs.
T1553,Operating systems and security products may contain mechanisms to identify programs or websites as possessing some level of trust.
T1553,"Examples of such features would include a program being allowed to run because it is signed by a valid code signing certificate, a program prompting the user with a warning because it has an attribute set from being downloaded from the Internet, or getting an indication that you are about to connect to an untrusted site."
T1553,Adversaries may attempt to subvert these trust mechanisms.
T1553,The method adversaries use will depend on the specific mechanism they seek to subvert.
T1553,Adversaries may conduct File and Directory Permissions Modification or Modify Registry in support of subverting these controls.
T1553,Adversaries may also create or steal code signing certificates to acquire trust on target systems.
T1548,Adversaries may perform sudo caching and/or use the suoders file to elevate privileges.
T1548,Adversaries may do this to execute commands as other users or spawn processes with higher privileges.
T1548,"Within Linux and MacOS systems, sudo  allows users to perform commands from terminals with elevated privileges and to control who can perform these commands on the system."
T1548,"The sudo command ""allows a system administrator to delegate authority to give certain users  the ability to run some  commands as root or another user while providing an audit trail of the commands and their arguments."""
T1548,"Since sudo was made for the system administrator, it has some useful configuration features such as a timestamp_timeout, which is the amount of time in minutes between instances of sudo before it will re-prompt for a password."
T1548,This is because sudo has the ability to cache credentials for a period of time.
T1548,Sudo creates  a file at /var/db/sudo with a timestamp of when sudo was last run to determine this timeout.
T1548,"Additionally, there is a tty_tickets variable that treats each new tty  in isolation."
T1548,"This means that, for example, the sudo timeout of one tty will not affect another tty ."
T1548,"The sudoers file, /etc/sudoers, describes which users can run which commands and from which terminals."
T1548,This also describes which commands users can run as other users or groups.
T1548,"This provides the principle of least privilege such that users are running in their lowest possible permissions for most of the time and only elevate to other users or permissions as needed, typically by prompting for a password."
T1548,"However, the sudoers file can also specify when to not prompt users for passwords with a line like user1 ALL= NOPASSWD: ALL ."
T1548,Elevated privileges are required to edit this file though.
T1548,Adversaries can also abuse poor configurations of these mechanisms to escalate privileges without needing the user's password.
T1548,"For example, /var/db/sudo's timestamp can be monitored to see if it falls within the timestamp_timeout range."
T1548,"If it does, then malware can execute sudo commands without needing to supply the user's password."
T1548,"Additional, if tty_tickets is disabled, adversaries can do this from any tty for that user."
T1548,"In the wild, malware has disabled tty_tickets to potentially make scripting easier by issuing echo \'Defaults !tty_tickets\' >> /etc/sudoers ."
T1548,"In order for this change to be reflected, the malware also issued killall Terminal."
T1548,"As of macOS Sierra, the sudoers file has tty_tickets enabled by default."
T1548,Proton modifies the tty_tickets line in the sudoers file.
T1548,Cobalt Strike can use sudo to run a command.
T1548,Dok adds admin  ALL= NOPASSWD: ALL to the /etc/sudoers file.
T1195,Adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise.
T1195,"Supply chain compromise can take place at any stage of the supply chain including:
* Manipulation of development tools
* Manipulation of a development environment
* Manipulation of source code repositories 
* Manipulation of source code in open-source dependencies
* Manipulation of software update/distribution mechanisms
* Compromised/infected system images    
* Replacement of legitimate software with modified versions
* Sales of modified/counterfeit products to legitimate distributors
* Shipment interdiction
While supply chain compromise can impact any component of hardware or software, attackers looking to gain execution have often focused on malicious additions to legitimate software in software distribution or update channels."
T1195,Targeting may be specific to a desired victim set  or malicious software may be distributed to a broad set of consumers but only move on to additional tactics on specific victims.
T1195,Popular open source projects that are used as dependencies in many applications may also be targeted as a means to add malicious code to users of the dependency.
T1195,Smoke Loader was distributed through a compromised update to a Tor client with a coin miner payload.
T1195,"NotPetya's initial infection vector for the June 27, 2017 compromise was a backdoor in the Ukrainian tax accounting software M.E.Doc."
T1195,Elderwood has targeted manufacturers in the supply chain for the defense industry.
T1573,Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol.
T1573,Symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption.
T1573,"Common symmetric encryption algorithms include AES, DES, 3DES, Blowfish, and RC4."
T1573,H1N1 encrypts C2 traffic using an RC4 key.
T1573,Lurid performs XOR encryption.
T1573,Daserf uses RC4 encryption to obfuscate HTTP traffic.
T1573,"APT12 has used the RIPTIDE RAT, which communicates over HTTP with a payload encrypted with RC4."
T1573,CallMe uses AES to encrypt C2 traffic.
T1573,4H RAT obfuscates C2 communication using a 1-byte XOR with the key 0xBE.
T1573,CHOPSTICK encrypts C2 communications with RC4.
T1573,MoonWind encrypts C2 traffic using RC4 with a static key.
T1573,Derusbi obfuscates C2 traffic with variable 4-byte XOR keys.
T1573,Carbanak encrypts the message body of HTTP traffic with RC2 .
T1573,Carbanak also uses XOR with random keys for its communications.
T1573,SNUGRIDE encrypts C2 traffic using AES with a static key.
T1573,"NETEAGLE will decrypt resources it downloads with HTTP requests by using RC4 with the key ""ScoutEagle."""
T1573,TrickBot uses a custom crypter leveraging Microsoft’s CryptoAPI to encrypt C2 traffic.Newer versions of TrickBot have been known to use `bcrypt` to encrypt and digitally sign responses to their C2 server.
T1573,"Chaos provides a reverse shell connection on 8338/TCP, encrypted via AES."
T1573,The original variant of FakeM encrypts C2 traffic using a custom encryption cipher that uses an XOR key of “YHCRA” and bit rotation between each XOR operation.
T1573,Some variants of FakeM use RC4 to encrypt C2 traffic.
T1573,FALLCHILL encrypts C2 data with RC4 encryption.
T1573,BADNEWS encrypts C2 data with a ROR by 3 and an XOR by 0x23.
T1573,SeaDuke C2 traffic has been encrypted with RC4 and AES.
T1573,PoisonIvy uses the Camellia cipher to encrypt communications.
T1573,CosmicDuke contains a custom version of the RC4 algorithm that includes a programming error.
T1573,The Komplex C2 channel uses an 11-byte XOR algorithm to hide data.
T1573,Dipsind encrypts C2 data with AES256 in ECB mode.
T1573,Hydraq C2 traffic is encrypted using bitwise NOT and XOR operations.
T1573,"Before being appended to image files, HAMMERTOSS commands are encrypted with a key composed of both a hard-coded value and a string contained on that day's tweet."
T1573,"To decrypt the commands, an investigator would need access to the intended malware sample, the day's tweet, and the image file containing the command."
T1573,"httpclient encrypts C2 content with XOR using a single byte, 0x12."
T1573,Comnie encrypts command and control communications with RC4.
T1573,RTM encrypts C2 traffic with a custom RC4 variant.
T1573,Hikit performs XOR encryption.
T1573,A variant of ADVSTORESHELL encrypts some C2 with 3DES.
T1573,CORESHELL C2 messages are encrypted with custom stream ciphers using six-byte or eight-byte keys.
T1573,Elise encrypts exfiltrated data with RC4.
T1573,BBSRAT uses a custom encryption algorithm on data sent back to the C2 server over HTTP.
T1573,Bisonal variants reported on in 2014 and 2015 used a simple XOR cipher for C2.
T1573,Some Bisonal samples encrypt C2 communications with RC4.
T1573,Sakula encodes C2 traffic with single-byte XOR keys.
T1573,"RedLeaves has encrypted C2 traffic with RC4, previously using keys of 88888888 and babybear."
T1573,Helminth encrypts data sent to its C2 server over HTTP with RC4.
T1573,Volgmer uses a simple XOR cipher to encrypt traffic and files.
T1573,KEYMARBLE uses a customized XOR algorithm to encrypt C2 communications.
T1573,PLAINTEE encodes C2 beacons using XOR.
T1573,NanoCore uses DES to encrypt the C2 traffic.
T1573,gh0st RAT uses RC4 and XOR to encrypt C2 traffic.
T1573,GreyEnergy encrypts communications using AES256.
T1573,ChChes can encrypt C2 traffic with AES or RC4.
T1573,Prikormka encrypts some C2 traffic with the Blowfish cipher.
T1573,Epic encrypts commands from the C2 server using a hardcoded key.
T1573,Azorult can encrypt C2 traffic using XOR.
T1573,BADCALL encrypts C2 traffic using an XOR/ADD cipher.
T1573,Cardinal RAT uses a secret key with a series of XOR and addition operations to encrypt C2 traffic.
T1573,Some versions of UPPERCUT have used the hard-coded string “this is the encrypt key” for Blowfish encryption when communicating with a C2.
T1573,Later versions have hard-coded keys uniquely for each C2 address.
T1573,Some Felismus samples use a custom encryption method for C2 traffic that utilizes AES and multiple keys.
T1573,The C2 server response to a beacon sent by a variant of Emissary contains a 36-character GUID value that is used as an encryption key for subsequent network communications.
T1573,Some variants of Emissary use various XOR operations to encrypt C2 data.
T1573,InvisiMole uses variations of a simple XOR encryption routine for C&C communications.
T1573,"Mosquito uses a custom encryption algorithm, which consists of XOR and a stream that is similar to the Blum Blum Shub algorithm."
T1573,3PARA RAT command and control commands are encrypted within the HTTP C2 channel using the DES algorithm in CBC mode with a key derived from the MD5 hash of the string HYF54&%9&jkMCXuiS.
T1573,3PARA RAT will use an 8-byte XOR key derived from the string HYF54&%9&jkMCXuiS if the DES decoding fails Sys10 uses an XOR 0x1 loop to encrypt its C2 domain.
T1573,NDiskMonitor uses AES to encrypt certain information sent over its C2 channel.
T1573,Downdelph uses RC4 to encrypt C2 responses.
T1573,The Duqu command and control protocol's data stream can be encrypted with AES-CBC.
T1573,ZeroT has used RC4 to encrypt C2 traffic.
T1573,POWERTON has used AES for encrypting C2 traffic.
T1573,"Ebury has encrypted C2 traffic using the client IP address, then encoded it as a hexadecimal string."
T1573,FlawedAmmyy has used SEAL encryption during the initial C2 handshake.
T1573,Dridex has encrypted traffic with RC4.
T1573,HiddenWasp uses an RC4-like algorithm with an already computed PRGA generated key-stream for network communication.
T1573,LightNeuron uses AES to encrypt C2 traffic.
T1573,More_eggs has used an RC4-based encryption method for its C2 communications.
T1573,Taidoor uses RC4 to encrypt the message body of HTTP content.
T1573,Gazer uses custom encryption for C2 that uses 3DES.
T1573,Hi-Zor encrypts C2 traffic with a double XOR using two distinct single-byte keys.
T1573,Winnti for Linux has used a custom TCP protocol with four-byte XOR for command and control .
T1573,HotCroissant has compressed network communications and encrypted them with a custom stream cipher.
T1573,Rifdoor has encrypted command and control  communications with a stream cipher.
T1573,PLEAD has used RC4 encryption to download modules.
T1573,TSCookie has encrypted network communications with RC4.
T1573,Attor has encrypted data symmetrically using a randomly generated Blowfish  key which is encrypted with a public RSA key.
T1573,Okrum uses AES to encrypt network traffic.
T1573,The key can be hardcoded or negotiated with the C2 server in the registration phase.
T1573,down_new has the ability to AES encrypt C2 communications.
T1573,Bonadan can XOR-encrypt C2 communications.
T1573,Machete has used AES to exfiltrate documents.
T1573,RDAT has used AES ciphertext to encode C2 communications.
T1573,PipeMon communications are RC4 encrypted.
T1573,FatDuke can AES encrypt C2 communications.
T1573,WellMess can encrypt HTTP POST data using RC6 and a dynamically generated AES key encrypted with a hard coded RSA public key.
T1573,BLINDINGCAN has encrypted its C2 traffic with RC4.
T1573,Lucifer can perform a decremental-xor encryption on the initial C2 request before sending it over the wire.
T1573,Bazar can send C2 communications with XOR encryption.
T1573,HyperStack has used RSA encryption for C2 communications.
T1573,SUNBURST encrypted C2 traffic using a single-byte-XOR cipher.
T1573,NETWIRE can use AES encryption for C2 data transferred.
T1573,Explosive has encrypted communications with the RC4 method.
T1573,BendyBear communicates to a C2 server over port 443 using modified RC4 and XOR-encrypted chunks.
T1573,LookBack uses a modified version of RC4 for data transfer.
T1573,TAINTEDSCRIBE uses a Linear Feedback Shift Register  algorithm for network encryption.
T1573,Cobalt Strike has the ability to use AES-256 symmetric encryption in CBC mode with HMAC-SHA-256 to encrypt task commands and XOR to encrypt shell code and configuration data.
T1573,Stuxnet encodes the payload of system information sent to the command and control servers using a one byte 0xFF XOR key.
T1573,Stuxnet also uses a 31-byte long static byte string to XOR data sent to command and control servers.
T1573,The servers use a different static key to encrypt replies to the implant.
T1573,SideTwist can encrypt C2 communications with a randomly generated key.
T1573,Bandook has used AES encryption for C2 communication.
T1573,SodaMaster can use RC4 to encrypt C2 communications.
T1573,RainyDay can use RC4 to encrypt C2 communications.
T1573,Nebulae can use RC4 and XOR to encrypt C2 communications.
T1573,GrimAgent can use an AES key to encrypt C2 communications.
T1573,Kobalos's post-authentication communication channel uses a 32-byte-long password with RC4 for inbound and outbound traffic.
T1573,SMOKEDHAM has encrypted its C2 traffic with RC4.
T1573,Metamorfo has encrypted C2 commands with AES-256.
T1573,xCaon has encrypted data sent to the C2 server using a XOR key.
T1573,QakBot can RC4 encrypt strings in C2 communication.
T1573,XCSSET uses RC4 encryption over TCP to communicate with its C2 server.
T1573,Stealth Falcon malware encrypts C2 traffic using RC4 with a hard-coded key.
T1573,BRONZE BUTLER has used RC4 encryption  and AES  to obfuscate HTTP traffic.
